Voltage,Frequency,Angle,spar1,spar2
150,10,41.73,0,0
150,20,53.9,0,0
150,30,60.39,0,0
150,40,59.62,0,0
150,50,53.13,22.99,24.19
150,60,49.75,24.03,25.34
150,70,43.66,29.06,28.16
150,80,40.26,26.02,27.9
150,90,33.34,29.97,30.49
150,100,28.52,28.48,23.53
200,10,58.6,0,0
200,20,58.36,0,0
200,30,77.3,0,0
200,40,74.99,23.86,24.88
200,50,68.19,24.03,26.15
200,60,65.32,33.86,31.79
200,70,66.82,35.01,34.94
200,80,59.16,36.93,37.5
200,90,46.72,31.3,34.38
200,110,33.48,29.2,25.32
