Voltage,Frequency,Angle,spar1,spar2
120,70,31.43,0,0
120,80,30.14,0,0
120,90,29.29,0,0
120,100,29.71,0,0
140,70,37.83,0,0
140,80,37.1,0,0
140,85,37.54,0,0
140,90,37.8,0,0
140,100,33.3,0,0
160,70,44.5,0,0
160,80,45.4,0,0
160,85,46.15,36.5,37.73
160,90,45.85,0,0
160,100,38.66,0,0
180,70,48.76,0,0
180,80,54.21,0,0
180,85,55.5,37.86,39.51
180,90,54.06,0,0
180,100,43.13,0,0
200,70,56.34,0,0
200,80,63.52,0,0
200,85,65.87,39.28,39.29
200,90,60.62,0,0
