Voltage,Frequency,Angle,spar1,spar2
150,60,59,0,0
150,80,63.3,0,0
150,100,66.13,0,0
150,110,67.52,0,0
150,120,70.69,31.8,36.03
150,125,72.9,0,0
150,130,73.55,0,0
150,150,53.96,0,0
180,60,71.24,0,0
180,80,75.28,0,0
180,100,78.94,0,0
180,110,83.31,32.85,36.87
180,120,94.89,36.07,37.82
180,130,96.38,0,0
180,140,85.2,0,0
180,160,60.2,0,0
200,60,79.54,0,0
200,80,83.39,0,0
200,100,87.74,0,0
200,110,94.39,35.9,39.43
200,120,114.18,41.4,41.82
200,130,97.13,0,0
200,150,62.01,0,0
