Voltage,Frequency,Angle,spar1,spar2
200,50,76.39,0,0
200,55,78.15,0,0
200,60,84.1,0,0
200,65,97.67,38.13,41.03
200,70,118.32,40.32,40.68
200,80,127.85,0,0
