Voltage,Frequency,Angle,spar1,spar2
200,50,48.41,0,0
200,70,55.44,0,0
200,80,59.63,0,0
200,90,72.61,34.97,39.39
200,93,77.15,35.25,38.2
200,95,79.06,0,0
200,100,77.55,0,0
200,110,58.05,0,0
