Voltage,Frequency,Angle,spar1,spar2
150,70,53.36,31.37,30.51
150,80,64.9,0,0
150,85,66.64,0,0
150,90,65.47,0,0
150,95,59.9,0,0
200,30,55.76,0,0
200,50,62.08,0,0
200,60,64.3,28.36,29.3
200,70,77.65,35.92,34.02
